"Name","Pin","Function","Symbolic name","Direction","Mode","Pad level","Pad strength","Pin function","Pad class","Power domain","Reset state"
"P34.1","U11","CAN0_NODE0_TXD","CAN0_NODE0_TXD","Output","Push-pull","CMOS/Automotive","Speed grade 4","Digital","SLOW","VEVRSB","PU1"
"P34.2","T12","CAN2_NODE0_RXD","CAN2_NODE0_RXD","Input","Pull-up","CMOS/Automotive","","Digital","SLOW","VEVRSB","PU1"
"P34.3","U12","","","Input","Pull-up","CMOS/Automotive","","Digital","SLOW","VEVRSB","PU1"
"P34.4","T13","","","Input","Pull-up","CMOS/Automotive","","Digital","SLOW","VEVRSB","PU1"
"P34.5","U13","ASCLIN8_TXD","ASCLIN8_TXD","Output","Push-pull","CMOS/Automotive","Speed grade 4","","FAST","VEVRSB","PU1"
"SCR_P00.2","","","","Input","Pull-up","CMOS/Automotive","","","","",""
"SCR_P00.3","","","","Input","Pull-up","CMOS/Automotive","","","","",""
"SCR_P01.3","","","","Input","Pull-up","CMOS/Automotive","","","","",""
"SCR_P01.6","","","","Input","Pull-up","CMOS/Automotive","","","","",""
"SCR_P01.7","","","","Input","Pull-up","CMOS/Automotive","","","","",""
"TCK","J16","DAP3P_DAP0IN","DAP3P_DAP0IN","","","","","","FAST","VEXT","PD2"
"TMS","K16","DAP3P_DAP1 / DAP3P_DAP1IN","","","","","","","FAST","VEXT","PD2"
"VAGND1","Y7","","","","","","","","","",""
"VAGND2","T2","","","","","","","","","",""
"VAREF1","Y6","","","","","","","","！","",""
"VAREF2","T1","","","","","","","","！","",""
"VDD","N14","","","","","","","","！","",""
"VDD","P13","","","","","","","","！","",""
"VDD","G13","","","","","","","","！","",""
"VDD","E15","","","","","","","","！","",""
"VDD","D16","","","","","","","","！","",""
"VDD","P8","","","","","","","","！","",""
"VDD","N7","","","","","","","","！","",""
"VDD","H14","","","","","","","","！","",""
"VDDM","Y5","","","","","","","","！","",""
"VDDOSC","N19","","","","","","","","！","",""
"VDDP3","A19","","","","","","","","！","",""
"VDDP3","B18","","","","","","","","！","",""
"VDDSB (VDD)","G8","","","","","","","","！","",""
"VDDSB (VDD)","H7","","","","","","","","！","",""
"VEVRSB","T11","","","","","","","","！","",""
"VEXT","A2","","","","","","","","！","",""
"VEXT","B3","","","","","","","","！","",""
"VEXT","W20","","","","","","","","！","",""
"VEXT","V19","","","","","","","","！","",""
"VEXTOSC","N20","","","","","","","","！","",""
"VFLEX","D5","","","","","","","","！","",""
"VSS","M7","","","","","","","","！","",""
"VSS","M8","","","","","","","","！","",""
"VSS","K8","","","","","","","","！","",""
"VSS","K9","","","","","","","","！","",""
"VSS","E5","","","","","","","","！","",""
"VSS","G9","","","","","","","","！","",""
"VSS","Y20","","","","","","","","！","",""
"VSS","H10","","","","","","","","！","",""
"VSS","H12","","","","","","","","！","",""
"VSS","J10","","","","","","","","！","",""
"VSS","H11","","","","","","","","！","",""
"VSS","G12","","","","","","","","！","",""
"VSS","P9","","","","","","","","！","",""
"VSS","L10","","","","","","","","！","",""
"VSS","K11","","","","","","","","！","",""
"VSS","B19","","","","","","","","！","",""
"VSS","E16","","","","","","","","！","",""
"VSS","D17","","","","","","","","！","",""
"VSS","K10","","","","","","","","！","",""
"VSS","N9","","","","","","","","！","",""
"VSS","J11","","","","","","","","！","",""
"VSS","N10","","","","","","","","！","",""
"VSS","M11","","","","","","","","！","",""
"VSS","L8","","","","","","","","！","",""
"VSS","L12","","","","","","","","！","",""
"VSS","K13","","","","","","","","！","",""
"VSS","J14","","","","","","","","！","",""
"VSS","J7","","","","","","","","！","",""
"VSS","M10","","","","","","","","！","",""
"VSS","L9","","","","","","","","！","",""
"VSS","L11","","","","","","","","！","",""
"VSS","K12","","","","","","","","！","",""
"VSS","J13","","","","","","","","！","",""
"VSS","N12","","","","","","","","！","",""
"VSS","J8","","","","","","","","！","",""
"VSS","M13","","","","","","","","！","",""
"VSS","N11","","","","","","","","！","",""
"VSS","L13","","","","","","","","！","",""
"VSS","B2","","","","","","","","！","",""
"VSS","D4","","","","","","","","！","",""
"VSS","P12","","","","","","","","！","",""
"VSS","H9","","","","","","","","！","",""
"VSS","M14","","","","","","","","！","",""
"VSS","T16","","","","","","","","！","",""
"VSS","U17","","","","","","","","！","",""
"VSS","W19","","","","","","","","！","",""
"VSS","A20","","","","","","","","！","",""
"VSSM","Y4","","","","","","","","","",""
"VSSOSC","L20","","","","","","","","！","",""
"XTAL1","M20","CCU_XTALIN","CCU_XTALIN","","","","","","XTAL","VEXTOSC",""
"XTAL2","M19","CCU_XTAL2","CCU_XTAL2","","","","","","XTAL","VEXTOSC",""
"nESR0","F16","","","","","","","","FAST","VEXT","OD"
"nESR1","G16","SCU_ESR1_IN","SCU_ESR1_IN","","","","","","FAST","VEXT","PU1"
"nPORST","G17","PMS_PORST","NPORST","","","","","","PORST","VEXT","PD"
"nTRST","L19","DAP3P_TRST","DAP3P_TRST","","","","","","FAST","VEXT","PU2"
